,freq
2017-10-11,42
2017-10-10,73
2017-10-09,145
2017-10-08,51
2017-10-07,42
2017-10-06,68
2017-10-05,136
2017-10-04,117
2017-10-03,116
2017-10-02,139
2017-10-01,45
2017-09-30,151
2017-09-29,81
2017-09-28,83
2017-09-27,163
2017-09-26,66
2017-09-25,90
2017-09-24,58
2017-09-23,136
2017-09-22,66
2017-09-21,99
2017-09-20,92
2017-09-19,73
2017-09-18,143
2017-09-17,70
2017-09-16,89
2017-09-15,116
2017-09-14,69
2017-09-13,50
2017-09-12,66
2017-09-11,124
2017-09-10,86
2017-09-09,118
2017-09-08,59
2017-09-07,142
2017-09-06,130
2017-09-05,171
2017-09-04,159
2017-09-03,46
2017-09-02,64
2017-09-01,81
2017-08-31,193
2017-08-30,80
2017-08-29,139
2017-08-28,210
2017-08-27,178
2017-08-26,102
2017-08-25,102
2017-08-24,138
2017-08-23,144
2017-08-22,150
2017-08-21,312
2017-08-20,92
2017-08-19,133
2017-08-18,230
2017-08-17,142
2017-08-16,180
2017-08-15,304
2017-08-14,180
2017-08-13,58
2017-08-12,40
2017-08-11,85
2017-08-10,52
2017-08-09,71
2017-08-08,67
2017-08-07,122
2017-08-06,52
2017-08-05,39
2017-08-04,66
2017-08-03,328
2017-08-02,197
2017-08-01,125
2017-07-31,155
2017-07-30,77
2017-07-29,84
2017-07-28,82
2017-07-27,133
2017-07-26,122
2017-07-25,116
2017-07-24,226
2017-07-23,70
2017-07-22,42
2017-07-21,81
2017-07-20,237
2017-07-19,148
2017-07-18,95
2017-07-17,209
2017-07-16,83
2017-07-15,103
2017-07-14,93
2017-07-13,80
2017-07-12,59
2017-07-11,70
2017-07-10,91
2017-07-09,85
2017-07-08,77
2017-07-07,76
2017-07-06,109
2017-07-05,101
2017-07-04,121
2017-07-03,185
2017-07-02,68
2017-07-01,40
2017-06-30,72
2017-06-29,115
2017-06-28,79
2017-06-27,6122
2017-06-26,3657
2017-06-25,42
2017-06-24,23
2017-06-23,44
2017-06-22,81
2017-06-21,42
2017-06-20,61
2017-06-19,124
2017-06-18,50
2017-06-17,35
2017-06-16,36
2017-06-15,37
2017-06-14,44
2017-06-13,63
2017-06-12,103
2017-06-11,38
2017-06-10,24
2017-06-09,55
2017-06-08,82
2017-06-07,75
2017-06-06,57
2017-06-05,114
2017-06-04,50
2017-06-03,21
2017-06-02,51
2017-06-01,96
2017-05-31,72
2017-05-30,66
2017-05-29,90
2017-05-28,61
2017-05-27,28
2017-05-26,63
2017-05-25,66
2017-05-24,83
2017-05-23,49
2017-05-22,209
2017-05-21,61
2017-05-20,25
2017-05-19,22
2017-05-18,115
2017-05-17,74
2017-05-16,134
2017-05-15,142
2017-05-14,21
2017-05-13,22
2017-05-12,46
2017-05-11,77
2017-05-10,103
2017-05-09,109
2017-05-08,108
2017-05-07,44
2017-05-06,27
2017-05-05,27
2017-05-04,38
2017-05-03,34
2017-05-02,29
2017-05-01,58
2017-04-30,25
2017-04-29,29
2017-04-28,19
2017-04-27,52
2017-04-26,35
2017-04-25,32
2017-04-24,82
2017-04-23,31
2017-04-22,58
2017-04-21,21
2017-04-20,29
2017-04-19,13
2017-04-18,31
2017-04-17,41
2017-04-16,11
2017-04-15,22
2017-04-14,30
2017-04-13,18
2017-04-12,23
2017-04-11,34
2017-04-10,58
2017-04-09,17
2017-04-08,23
2017-04-07,33
2017-04-06,21
2017-04-05,35
2017-04-04,30
2017-04-03,43
2017-04-02,20
2017-04-01,24
2017-03-31,29
2017-03-30,36
2017-03-29,87
2017-03-28,40
2017-03-27,74
2017-03-26,33
2017-03-25,18
2017-03-24,28
2017-03-23,32
2017-03-22,33
2017-03-21,31
2017-03-20,57
2017-03-19,23
2017-03-18,21
2017-03-17,31
2017-03-16,23
2017-03-15,17
2017-03-14,27
2017-03-13,39
2017-03-12,23
2017-03-11,15
2017-03-10,34
2017-03-09,16
2017-03-08,15
2017-03-07,32
2017-03-06,41
2017-03-05,37
2017-03-04,51
2017-03-03,34
2017-03-02,30
2017-03-01,34
2017-02-28,35
2017-02-27,69
2017-02-26,33
2017-02-25,21
2017-02-24,25
2017-02-23,20
2017-02-22,34
2017-02-21,84
2017-02-20,118
2017-02-19,68
2017-02-18,24
2017-02-17,14
2017-02-16,24
2017-02-15,21
2017-02-14,30
2017-02-13,49
2017-02-12,21
2017-02-11,17
2017-02-10,25
2017-02-09,23
2017-02-08,32
2017-02-07,28
2017-02-06,84
2017-02-05,41
2017-02-04,43
2017-02-03,18
2017-02-02,32
2017-02-01,19
2017-01-31,45
2017-01-30,66
2017-01-29,90
2017-01-28,52
2017-01-27,32
2017-01-26,23
2017-01-25,37
2017-01-24,17
2017-01-23,26
2017-01-22,21
2017-01-21,80
2017-01-20,40
2017-01-19,29
2017-01-18,46
2017-01-17,35
2017-01-16,39
2017-01-15,159
2017-01-14,38
2017-01-13,34
2017-01-12,40
2017-01-11,18
2017-01-10,29
2017-01-09,36
2017-01-08,34
2017-01-07,42
2017-01-06,36
2017-01-05,45
2017-01-04,19
2017-01-03,13
2017-01-02,15
2017-01-01,15
2016-12-31,23
2016-12-30,16
2016-12-29,28
2016-12-28,35
2016-12-27,18
2016-12-26,7
2016-12-25,8
2016-12-24,15
2016-12-23,18
2016-12-22,14
2016-12-21,24
2016-12-20,40
2016-12-19,25
2016-12-18,23
2016-12-17,27
2016-12-16,37
2016-12-15,33
2016-12-14,28
2016-12-13,27
2016-12-12,27
2016-12-11,27
2016-12-10,21
2016-12-09,31
2016-12-08,52
2016-12-07,17
2016-12-06,10
2016-12-05,17
2016-12-04,35
2016-12-03,26
2016-12-02,44
2016-12-01,33
2016-11-30,18
2016-11-29,27
2016-11-28,27
2016-11-27,16
2016-11-26,11
2016-11-25,23
2016-11-24,24
2016-11-23,39
2016-11-22,61
2016-11-21,39
2016-11-20,31
2016-11-19,14
2016-11-18,22
2016-11-17,33
2016-11-16,24
2016-11-15,40
2016-11-14,21
2016-11-13,50
2016-11-12,35
2016-11-11,19
2016-11-10,32
2016-11-09,26
2016-11-08,34
2016-11-07,33
2016-11-06,35
2016-11-05,40
2016-11-04,33
2016-11-03,31
2016-11-02,28
2016-11-01,25
2016-10-31,50
2016-10-30,43
2016-10-29,33
2016-10-28,30
2016-10-27,20
2016-10-26,16
2016-10-25,25
2016-10-24,44
2016-10-23,24
2016-10-22,27
2016-10-21,33
2016-10-20,49
2016-10-19,59
2016-10-18,43
2016-10-17,30
2016-10-16,20
2016-10-15,17
2016-10-14,30
2016-10-13,32
2016-10-12,25
2016-10-11,30
2016-10-10,31
2016-10-09,15
2016-10-08,23
2016-10-07,13
2016-10-06,23
2016-10-05,18
2016-10-04,25
2016-10-03,19
2016-10-02,9
2016-10-01,13
2016-09-30,16
2016-09-29,17
2016-09-28,17
2016-09-27,9
2016-09-26,20
2016-09-25,19
2016-09-24,21
2016-09-23,31
2016-09-22,28
2016-09-21,24
2016-09-20,36
2016-09-19,22
2016-09-18,10
2016-09-17,35
2016-09-16,34
2016-09-15,30
2016-09-14,20
2016-09-13,33
2016-09-12,19
2016-09-11,27
2016-09-10,32
2016-09-09,23
2016-09-08,20
2016-09-07,17
2016-09-06,20
2016-09-05,17
2016-09-04,10
2016-09-03,44
2016-09-02,8
2016-09-01,18
2016-08-31,14
2016-08-30,19
2016-08-29,30
2016-08-28,27
2016-08-27,42
2016-08-26,16
2016-08-25,20
2016-08-24,14
2016-08-23,27
2016-08-22,36
2016-08-21,11
2016-08-20,22
2016-08-19,32
2016-08-18,25
2016-08-17,62
2016-08-16,18
2016-08-15,21
2016-08-14,9
2016-08-13,24
2016-08-12,29
2016-08-11,18
2016-08-10,19
2016-08-09,18
2016-08-08,15
2016-08-07,14
2016-08-06,21
2016-08-05,33
2016-08-04,20
2016-08-03,14
2016-08-02,16
2016-08-01,17
2016-07-31,12
2016-07-30,30
2016-07-29,20
2016-07-28,18
2016-07-27,19
2016-07-26,15
2016-07-25,15
2016-07-24,13
2016-07-23,38
2016-07-22,18
2016-07-21,43
2016-07-20,13
2016-07-19,8
2016-07-18,10
2016-07-17,8
2016-07-16,30
2016-07-15,32
2016-07-14,21
2016-07-13,12
2016-07-12,17
2016-07-11,30
2016-07-10,12
2016-07-09,33
2016-07-08,20
2016-07-07,15
2016-07-06,9
2016-07-05,19
2016-07-04,11
2016-07-03,8
2016-07-02,20
2016-07-01,22
2016-06-30,23
2016-06-29,12
2016-06-28,13
2016-06-27,23
2016-06-26,14
2016-06-25,18
2016-06-24,19
2016-06-23,19
2016-06-22,10
2016-06-21,13
2016-06-20,21
2016-06-19,11
2016-06-18,23
2016-06-17,25
2016-06-16,14
2016-06-15,23
2016-06-14,19
2016-06-13,27
2016-06-12,13
2016-06-11,17
2016-06-10,17
2016-06-09,19
2016-06-08,23
2016-06-07,11
2016-06-06,23
2016-06-05,10
2016-06-04,14
2016-06-03,23
2016-06-02,22
2016-06-01,26
2016-05-31,13
2016-05-30,12
2016-05-29,4
2016-05-28,16
2016-05-27,35
2016-05-26,38
2016-05-25,11
2016-05-24,10
2016-05-23,15
2016-05-22,10
2016-05-21,27
2016-05-20,15
2016-05-19,13
2016-05-18,10
2016-05-17,9
2016-05-16,12
2016-05-15,7
2016-05-14,12
2016-05-13,19
2016-05-12,9
2016-05-11,16
2016-05-10,12
2016-05-09,4
2016-05-08,12
2016-05-07,21
2016-05-06,14
2016-05-05,16
2016-05-04,12
2016-05-03,10
2016-05-02,11
2016-05-01,10
2016-04-30,12
2016-04-29,7
2016-04-28,11
2016-04-27,9
2016-04-26,4
2016-04-25,14
2016-04-24,8
2016-04-23,13
2016-04-22,9
2016-04-21,9
2016-04-20,9
2016-04-19,12
2016-04-18,7
2016-04-17,14
2016-04-16,20
2016-04-15,15
2016-04-14,15
2016-04-13,6
2016-04-12,9
2016-04-11,19
2016-04-10,6
2016-04-09,18
2016-04-08,23
2016-04-07,16
2016-04-06,6
2016-04-05,14
2016-04-04,15
2016-04-03,10
2016-04-02,21
